Month Year Median Average
Jan 1963 $17,200 (NA)
Feb 1963 $17,700 (NA)
Mar 1963 $18,200 (NA)
Apr 1963 $18,200 (NA)
May 1963 $17,500 (NA)
Jun 1963 $18,000 (NA)
Jul 1963 $18,400 (NA)
Aug 1963 $17,800 (NA)
Sep 1963 $17,900 (NA)
Oct 1963 $17,600 (NA)
Nov 1963 $18,400 (NA)
Dec 1963 $18,700 (NA)
Jan 1964 $17,800 (NA)
Feb 1964 $18,000 (NA)
Mar 1964 $19,000 (NA)
Apr 1964 $18,800 (NA)
May 1964 $19,300 (NA)
Jun 1964 $18,800 (NA)
Jul 1964 $19,100 (NA)
Aug 1964 $18,900 (NA)
Sep 1964 $18,900 (NA)
Oct 1964 $18,900 (NA)
Nov 1964 $19,300 (NA)
Dec 1964 $21,000 (NA)
Jan 1965 $20,700 (NA)
Feb 1965 $20,400 (NA)
Mar 1965 $19,800 (NA)
Apr 1965 $19,900 (NA)
May 1965 $19,600 (NA)
Jun 1965 $19,800 (NA)
Jul 1965 $21,000 (NA)
Aug 1965 $20,200 (NA)
Sep 1965 $19,600 (NA)
Oct 1965 $19,900 (NA)
Nov 1965 $20,600 (NA)
Dec 1965 $20,300 (NA)
Jan 1966 $21,200 (NA)
Feb 1966 $20,900 (NA)
Mar 1966 $20,800 (NA)
Apr 1966 $23,000 (NA)
May 1966 $22,300 (NA)
Jun 1966 $21,200 (NA)
Jul 1966 $21,800 (NA)
Aug 1966 $20,700 (NA)
Sep 1966 $22,200 (NA)
Oct 1966 $20,800 (NA)
Nov 1966 $21,700 (NA)
Dec 1966 $21,700 (NA)
Jan 1967 $22,200 (NA)
Feb 1967 $22,400 (NA)
Mar 1967 $22,400 (NA)
Apr 1967 $22,300 (NA)
May 1967 $23,700 (NA)
Jun 1967 $23,900 (NA)
Jul 1967 $23,300 (NA)
Aug 1967 $21,700 (NA)
Sep 1967 $22,800 (NA)
Oct 1967 $22,300 (NA)
Nov 1967 $23,100 (NA)
Dec 1967 $22,200 (NA)
Jan 1968 $23,400 (NA)
Feb 1968 $23,500 (NA)
Mar 1968 $24,600 (NA)
Apr 1968 $24,500 (NA)
May 1968 $25,300 (NA)
Jun 1968 $25,400 (NA)
Jul 1968 $24,600 (NA)
Aug 1968 $25,000 (NA)
Sep 1968 $25,000 (NA)
Oct 1968 $25,600 (NA)
Nov 1968 $24,600 (NA)
Dec 1968 $26,500 (NA)
Jan 1969 $24,600 (NA)
Feb 1969 $26,000 (NA)
Mar 1969 $26,200 (NA)
Apr 1969 $25,900 (NA)
May 1969 $26,900 (NA)
Jun 1969 $25,200 (NA)
Jul 1969 $26,800 (NA)
Aug 1969 $24,900 (NA)
Sep 1969 $26,000 (NA)
Oct 1969 $24,400 (NA)
Nov 1969 $24,900 (NA)
Dec 1969 $25,100 (NA)
Jan 1970 $23,600 (NA)
Feb 1970 $24,100 (NA)
Mar 1970 $24,100 (NA)
Apr 1970 $24,200 (NA)
May 1970 $25,700 (NA)
Jun 1970 $23,800 (NA)
Jul 1970 $22,900 (NA)
Aug 1970 $23,500 (NA)
Sep 1970 $22,600 (NA)
Oct 1970 $22,100 (NA)
Nov 1970 $23,500 (NA)
Dec 1970 $22,300 (NA)
Jan 1971 $23,900 (NA)
Feb 1971 $24,500 (NA)
Mar 1971 $24,300 (NA)
Apr 1971 $25,800 (NA)
May 1971 $25,500 (NA)
Jun 1971 $26,100 (NA)
Jul 1971 $25,200 (NA)
Aug 1971 $25,300 (NA)
Sep 1971 $25,400 (NA)
Oct 1971 $25,600 (NA)
Nov 1971 $25,700 (NA)
Dec 1971 $25,300 (NA)
Jan 1972 $24,700 (NA)
Feb 1972 $26,500 (NA)
Mar 1972 $27,400 (NA)
Apr 1972 $26,700 (NA)
May 1972 $27,000 (NA)
Jun 1972 $26,800 (NA)
Jul 1972 $27,700 (NA)
Aug 1972 $28,100 (NA)
Sep 1972 $28,000 (NA)
Oct 1972 $28,900 (NA)
Nov 1972 $29,100 (NA)
Dec 1972 $29,700 (NA)
Jan 1973 $29,900 (NA)
Feb 1973 $29,700 (NA)
Mar 1973 $31,400 (NA)
Apr 1973 $32,800 (NA)
May 1973 $32,000 (NA)
Jun 1973 $33,100 (NA)
Jul 1973 $34,200 (NA)
Aug 1973 $33,200 (NA)
